slug;name;birth_year
Fritz_Haber;Fritz Haber;1868
Kurt_Gödel;Kurt Gödel;1906
Cyril_of_Alexandria;Cyril of Alexandria;376
Mikhail_Kalashnikov;Mikhail Kalashnikov;1919
Carl_Wilhelm_Scheele;Carl Wilhelm Scheele;1742
Ole_Rømer;Ole Rømer;1644
Muhammad_al-Idrisi;Muhammad al-Idrisi;1100
Augustin-Louis_Cauchy;Augustin-Louis Cauchy;1789
Cesare_Lombroso;Cesare Lombroso;1835
Gerolamo_Cardano;Gerolamo Cardano;1501
Nestorius;Nestorius;381
Gustav_Kirchhoff;Gustav Kirchhoff;1824
Charles-Augustin_de_Coulomb;Charles-Augustin de Coulomb;1736
James_Watson;James Watson;1928
Wernher_von_Braun;Wernher von Braun;1912
Piri_Reis;Piri Reis;1470
Ernst_Mach;Ernst Mach;1838
Carl_Sagan;Carl Sagan;1934
Jacobus_Henricus_van_'t_Hoff;Jacobus Henricus van 't Hoff;1852
Luc_Montagnier;Luc Montagnier;1932
Wolfgang_Pauli;Wolfgang Pauli;1900
Andrei_Sakharov;Andrei Sakharov;1921
Lise_Meitner;Lise Meitner;1878
Alfred_Russel_Wallace;Alfred Russel Wallace;1823
Gottlob_Frege;Gottlob Frege;1848
Peter_Kropotkin;Peter Kropotkin;1842
Nicolas_Léonard_Sadi_Carnot;Nicolas Léonard Sadi Carnot;1796
Pieter_Zeeman;Pieter Zeeman;1865
Luca_Pacioli;Luca Pacioli;1445
Léon_Foucault;Léon Foucault;1819
Philipp_Lenard;Philipp Lenard;1862
Samuel_Colt;Samuel Colt;1814
Georges_Cuvier;Georges Cuvier;1769
Ja'far_al-Sadiq;Ja'far al-Sadiq;702
Irène_Joliot-Curie;Irène Joliot-Curie;1897
Ludwig_Boltzmann;Ludwig Boltzmann;1844
Alois_Alzheimer;Alois Alzheimer;1864
Paul_Dirac;Paul Dirac;1902
Hermann_von_Helmholtz;Hermann von Helmholtz;1821
Peter_Gustav_Lejeune_Dirichlet;Peter Gustav Lejeune Dirichlet;1805
Friedrich_Wöhler;Friedrich Wöhler;1800
Ada_Lovelace;Ada Lovelace;1815
Richard_Dawkins;Richard Dawkins;1941
Thomas_Newcomen;Thomas Newcomen;1663
Johannes_Diderik_van_der_Waals;Johannes Diderik van der Waals;1837
Wilhelm_Ostwald;Wilhelm Ostwald;1853
Rosalind_Franklin;Rosalind Franklin;1920
Christian_Doppler;Christian Doppler;1803
Otto_Hahn;Otto Hahn;1879
Heike_Kamerlingh_Onnes;Heike Kamerlingh Onnes;1853
Humphry_Davy;Humphry Davy;1778
Pedanius_Dioscorides;Pedanius Dioscorides;40
Julius_Lothar_Meyer;Julius Lothar Meyer;1830
William_Gilbert_(astronomer);William Gilbert;1544
Li_Ching-Yuen;Li Ching-Yuen;1677
Francis_Crick;Francis Crick;1916
Charles_Sanders_Peirce;Charles Sanders Peirce;1839
Werner_von_Siemens;Werner von Siemens;1816
Antonio_Meucci;Antonio Meucci;1808
Frederick_Winslow_Taylor;Frederick Winslow Taylor;1856
Pausanias_(geographer);Pausanias;110
Emmy_Noether;Emmy Noether;1882
Joseph_Louis_Gay-Lussac;Joseph Louis Gay-Lussac;1778
Georges_Lemaître;Georges Lemaître;1894
James_Chadwick;James Chadwick;1891
Karl_Ferdinand_Braun;Karl Ferdinand Braun;1850
George_Boole;George Boole;1815
Thomas_Henry_Huxley;Thomas Henry Huxley;1825
Thomas_Hunt_Morgan;Thomas Hunt Morgan;1866
Albert_Hofmann;Albert Hofmann;1906
Eudoxus_of_Cnidus;Eudoxus of Cnidus;-408
Otto_von_Guericke;Otto von Guericke;1602
Wilhelm_Wien;Wilhelm Wien;1864
Jean-Martin_Charcot;Jean-Martin Charcot;1825
Max_Born;Max Born;1882
Élie_Metchnikoff;Élie Metchnikoff;1845
Johann_Bernoulli;Johann Bernoulli;1667
Emil_Fischer;Emil Fischer;1852
Denis_Papin;Denis Papin;1647
Justus_von_Liebig;Justus von Liebig;1803
George_Westinghouse;George Westinghouse;1846
Giovanni_Domenico_Cassini;Giovanni Domenico Cassini;1625
Bartolomeo_Cristofori;Bartolomeo Cristofori;1655
William_Thomson,_1st_Baron_Kelvin;William Thomson, 1st Baron Kelvin;1824
Apollonius_of_Perga;Apollonius of Perga;-262
James_Naismith;James Naismith;1861
Archytas;Archytas;-428
Michael_Servetus;Michael Servetus;1509
Valery_Legasov;Valery Legasov;1936
Robert_Andrews_Millikan;Robert Andrews Millikan;1868
John_Logie_Baird;John Logie Baird;1888
Robert_Fulton;Robert Fulton;1765
Adolphe_Sax;Adolphe Sax;1814
Sergei_Korolev;Sergei Korolev;1906
Rudolf_Virchow;Rudolf Virchow;1821
Mikhail_Lomonosov;Mikhail Lomonosov;1711
J._Robert_Oppenheimer;J. Robert Oppenheimer;1904
William_Ramsay;William Ramsay;1852
Joseph-Ignace_Guillotin;Joseph-Ignace Guillotin;1738
Konstantin_Tsiolkovsky;Konstantin Tsiolkovsky;1857
Sofia_Kovalevskaya;Sofia Kovalevskaya;1850
Edmond_Halley;Edmond Halley;1656
Rudolf_Clausius;Rudolf Clausius;1822
Charles_Messier;Charles Messier;1730
Trofim_Lysenko;Trofim Lysenko;1898
Charles_Thomson_Rees_Wilson;Charles Thomson Rees Wilson;1869
Gustav_Ludwig_Hertz;Gustav Ludwig Hertz;1887
Charles_Francis_Richter;Charles Francis Richter;1900
Wilhelm_Eduard_Weber;Wilhelm Eduard Weber;1804
Sir_George_Stokes,_1st_Baronet;Sir George Stokes, 1st Baronet;1819
Eduard_Buchner;Eduard Buchner;1860
Francis_Galton;Francis Galton;1822
Max_von_Laue;Max von Laue;1879
Franz_Mesmer;Franz Mesmer;1734
Sébastien_Le_Prestre_de_Vauban;Sébastien Le Prestre de Vauban;1633
Frédéric_Joliot-Curie;Frédéric Joliot-Curie;1900
Maria_Gaetana_Agnesi;Maria Gaetana Agnesi;1718
Otto_Stern;Otto Stern;1888
Norbert_Wiener;Norbert Wiener;1894
Sophie_Germain;Sophie Germain;1776
Joseph_Marie_Jacquard;Joseph Marie Jacquard;1752
Nicolas_Appert;Nicolas Appert;1749
Brahmagupta;Brahmagupta;598
Nikolai_Vavilov;Nikolai Vavilov;1887
